max değer:2.1708 aranan değer :-0.8292000000000002
değer:2.1708 fark:3.0
değer:2.1687 fark:2.9979
değer:2.1627 fark:2.9919000000000002
değer:2.1525 fark:2.9817
değer:2.1384 fark:2.9676
değer:2.1202 fark:2.9494000000000002
değer:2.0979 fark:2.9271000000000003
değer:2.0716 fark:2.9008000000000003
değer:2.0413 fark:2.8705000000000003
değer:2.0069 fark:2.8361
değer:1.9685 fark:2.7977
değer:1.926 fark:2.7552000000000003
değer:1.8795 fark:2.7087000000000003
değer:1.8289 fark:2.6581
değer:1.7742 fark:2.6034
değer:1.7155 fark:2.5447
değer:1.6527 fark:2.4819000000000004
değer:1.5859 fark:2.4151000000000002
değer:1.515 fark:2.3442
değer:1.44 fark:2.2692
değer:1.3609 fark:2.1901
değer:1.2777 fark:2.1069000000000004
değer:1.1904 fark:2.0196
değer:1.0989 fark:1.9281000000000001
değer:1.0034 fark:1.8326000000000002
değer:0.90364 fark:1.7328400000000002
değer:0.79976 fark:1.6289600000000002
değer:0.69169 fark:1.52089
değer:0.57942 fark:1.4086200000000002
değer:0.46292 fark:1.2921200000000002
değer:0.34217 fark:1.17137
değer:0.21713 fark:1.0463300000000002
değer:0.087771 fark:0.9169710000000002
değer:-0.045938 fark:0.7832620000000001
değer:-0.18404 fark:0.6451600000000002
değer:-0.32658 fark:0.5026200000000002
değer:-0.4736 fark:0.35560000000000014
değer:-0.62517 fark:0.20403000000000016
****değer:-0.78134 fark:0.047860000000000125
değer:-0.94217 fark:0.11296999999999979
değer:-1.1077 fark:0.27849999999999975
değer:-1.2781 fark:0.44889999999999985
değer:-1.4534 fark:0.6241999999999999
değer:-1.6337 fark:0.8044999999999998
değer:-1.8191 fark:0.9898999999999998
değer:-2.0098 fark:1.1805999999999996
değer:-2.2058 fark:1.3765999999999998
değer:-2.4073 fark:1.5781
değer:-2.6144 fark:1.7851999999999997
değer:-2.8274 fark:1.9981999999999998
değer:-3.0463 fark:2.2171
değer:-3.2715 fark:2.4423
değer:-3.5031 fark:2.6738999999999997
değer:-3.7414 fark:2.9122
değer:-3.9867 fark:3.1574999999999998
değer:-4.2392 fark:3.41
değer:-4.4993 fark:3.6700999999999997
değer:-4.7674 fark:3.9382
değer:-5.0438 fark:4.2146
değer:-5.3291 fark:4.4999
değer:-5.6238 fark:4.7946
değer:-5.9283 fark:5.0991
değer:-6.2433 fark:5.4140999999999995
değer:-6.5696 fark:5.7404
değer:-6.9078 fark:6.0786
değer:-7.259 fark:6.4298
değer:-7.624 fark:6.7947999999999995
değer:-8.0041 fark:7.174899999999999
değer:-8.4006 fark:7.571400000000001
değer:-8.8148 fark:7.9856
değer:-9.2486 fark:8.4194
değer:-9.7039 fark:8.8747
değer:-10.183 fark:9.3538
değer:-10.689 fark:9.8598
değer:-11.224 fark:10.3948
değer:-11.793 fark:10.963799999999999
değer:-12.401 fark:11.5718
değer:-13.052 fark:12.2228
değer:-13.754 fark:12.9248
değer:-14.517 fark:13.6878
değer:-15.35 fark:14.5208
değer:-16.271 fark:15.4418
değer:-17.299 fark:16.4698
değer:-18.462 fark:17.6328
değer:-19.804 fark:18.9748
değer:-21.389 fark:20.5598
değer:-23.327 fark:22.4978
değer:-25.82 fark:24.9908
değer:-29.321 fark:28.4918
değer:-35.224 fark:34.3948
değer:-49.671 fark:48.8418
değer:-35.224 fark:34.3948
değer:-29.321 fark:28.4918
değer:-25.82 fark:24.9908
değer:-23.327 fark:22.4978
değer:-21.389 fark:20.5598
değer:-19.804 fark:18.9748
değer:-18.462 fark:17.6328
değer:-17.299 fark:16.4698
değer:-16.271 fark:15.4418
değer:-15.35 fark:14.5208
değer:-14.517 fark:13.6878
değer:-13.754 fark:12.9248
değer:-13.052 fark:12.2228
değer:-12.401 fark:11.5718
değer:-11.793 fark:10.963799999999999
değer:-11.224 fark:10.3948
değer:-10.689 fark:9.8598
değer:-10.183 fark:9.3538
değer:-9.7039 fark:8.8747
değer:-9.2486 fark:8.4194
değer:-8.8148 fark:7.9856
değer:-8.4006 fark:7.571400000000001
